ITEM  NUMBER     BIN                  HEX       
1     -39        11111111111111111111111111011001 0XFFFFFFD9
2     -36        11111111111111111111111111011100 0XFFFFFFDC
3     8          1000                 8         
4     34         100010               22        
5     17         10001                11        
6     49         110001               31        
7     5          101                  5         
8     39         100111               27        
9     0          0                    0         
10    33         100001               21        
11    12         1100                 C         
12    -6         11111111111111111111111111111010 0XFFFFFFFA
13    27         11011                1B        
14    -4         11111111111111111111111111111100 0XFFFFFFFC
15    -38        11111111111111111111111111011010 0XFFFFFFDA
16    26         11010                1A        
17    49         110001               31        
18    29         11101                1D        
19    42         101010               2A        
20    -16        11111111111111111111111111110000 0XFFFFFFF0
21    -28        11111111111111111111111111100100 0XFFFFFFE4
22    34         100010               22        
23    20         10100                14        
24    0          0                    0         
25    25         11001                19        
26    45         101101               2D        
27    3          11                   3         
28    -46        11111111111111111111111111010010 0XFFFFFFD2
29    -46        11111111111111111111111111010010 0XFFFFFFD2
30    29         11101                1D        
31    33         100001               21        
32    29         11101                1D        
33    26         11010                1A        
34    -5         11111111111111111111111111111011 0XFFFFFFFB
35    -36        11111111111111111111111111011100 0XFFFFFFDC
36    12         1100                 C         
37    45         101101               2D        
38    -50        11111111111111111111111111001110 0XFFFFFFCE
39    0          0                    0         
40    -6         11111111111111111111111111111010 0XFFFFFFFA
41    -39        11111111111111111111111111011001 0XFFFFFFD9
42    35         100011               23        
43    26         11010                1A        
44    -35        11111111111111111111111111011101 0XFFFFFFDD
45    -42        11111111111111111111111111010110 0XFFFFFFD6
46    14         1110                 E         
47    -3         11111111111111111111111111111101 0XFFFFFFFD
48    22         10110                16        
49    -47        11111111111111111111111111010001 0XFFFFFFD1
50    12         1100                 C         
51    -17        11111111111111111111111111101111 0XFFFFFFEF
52    -31        11111111111111111111111111100001 0XFFFFFFE1
53    -25        11111111111111111111111111100111 0XFFFFFFE7
54    -35        11111111111111111111111111011101 0XFFFFFFDD
55    -18        11111111111111111111111111101110 0XFFFFFFEE
56    14         1110                 E         
57    37         100101               25        
58    -8         11111111111111111111111111111000 0XFFFFFFF8
59    -41        11111111111111111111111111010111 0XFFFFFFD7
60    -50        11111111111111111111111111001110 0XFFFFFFCE
61    -9         11111111111111111111111111110111 0XFFFFFFF7
62    2          10                   2         
63    12         1100                 C         
64    -39        11111111111111111111111111011001 0XFFFFFFD9
65    -17        11111111111111111111111111101111 0XFFFFFFEF
66    0          0                    0         
67    27         11011                1B        
68    28         11100                1C        
69    45         101101               2D        
70    -44        11111111111111111111111111010100 0XFFFFFFD4
71    28         11100                1C        
72    35         100011               23        
73    -33        11111111111111111111111111011111 0XFFFFFFDF
74    43         101011               2B        
75    -4         11111111111111111111111111111100 0XFFFFFFFC
76    23         10111                17        
77    -49        11111111111111111111111111001111 0XFFFFFFCF
78    49         110001               31        
79    -7         11111111111111111111111111111001 0XFFFFFFF9
80    -38        11111111111111111111111111011010 0XFFFFFFDA
81    -45        11111111111111111111111111010011 0XFFFFFFD3
82    5          101                  5         
83    -21        11111111111111111111111111101011 0XFFFFFFEB
84    26         11010                1A        
85    -2         11111111111111111111111111111110 0XFFFFFFFE
86    -24        11111111111111111111111111101000 0XFFFFFFE8
87    6          110                  6         
88    -45        11111111111111111111111111010011 0XFFFFFFD3
89    -4         11111111111111111111111111111100 0XFFFFFFFC
90    15         1111                 F         
91    0          0                    0         
92    -17        11111111111111111111111111101111 0XFFFFFFEF
93    -35        11111111111111111111111111011101 0XFFFFFFDD
94    43         101011               2B        
95    45         101101               2D        
96    -35        11111111111111111111111111011101 0XFFFFFFDD
97    -8         11111111111111111111111111111000 0XFFFFFFF8
98    28         11100                1C        
99    47         101111               2F        
100   34         100010               22        
101   -24        11111111111111111111111111101000 0XFFFFFFE8
102   -42        11111111111111111111111111010110 0XFFFFFFD6
103   -13        11111111111111111111111111110011 0XFFFFFFF3
104   14         1110                 E         
105   -45        11111111111111111111111111010011 0XFFFFFFD3
106   -35        11111111111111111111111111011101 0XFFFFFFDD
107   27         11011                1B        
108   -12        11111111111111111111111111110100 0XFFFFFFF4
109   -19        11111111111111111111111111101101 0XFFFFFFED
110   -20        11111111111111111111111111101100 0XFFFFFFEC
111   -14        11111111111111111111111111110010 0XFFFFFFF2
112   20         10100                14        
113   30         11110                1E        
114   12         1100                 C         
115   -36        11111111111111111111111111011100 0XFFFFFFDC
116   -47        11111111111111111111111111010001 0XFFFFFFD1
117   -27        11111111111111111111111111100101 0XFFFFFFE5
118   -3         11111111111111111111111111111101 0XFFFFFFFD
119   6          110                  6         
120   36         100100               24        
121   9          1001                 9         
122   -16        11111111111111111111111111110000 0XFFFFFFF0
123   36         100100               24        
124   -27        11111111111111111111111111100101 0XFFFFFFE5
125   7          111                  7         
126   -6         11111111111111111111111111111010 0XFFFFFFFA
127   -5         11111111111111111111111111111011 0XFFFFFFFB
128   5          101                  5         
129   47         101111               2F        
130   23         10111                17        
131   -48        11111111111111111111111111010000 0XFFFFFFD0
132   -24        11111111111111111111111111101000 0XFFFFFFE8
133   40         101000               28        
134   -4         11111111111111111111111111111100 0XFFFFFFFC
135   -18        11111111111111111111111111101110 0XFFFFFFEE
136   -19        11111111111111111111111111101101 0XFFFFFFED
137   14         1110                 E         
138   15         1111                 F         
139   1          1                    1         
140   24         11000                18        
141   -9         11111111111111111111111111110111 0XFFFFFFF7
142   -50        11111111111111111111111111001110 0XFFFFFFCE
143   18         10010                12        
144   15         1111                 F         
145   30         11110                1E        
146   44         101100               2C        
147   9          1001                 9         
148   19         10011                13        
149   33         100001               21        
150   41         101001               29        
151   -24        11111111111111111111111111101000 0XFFFFFFE8
152   43         101011               2B        
153   48         110000               30        
154   -23        11111111111111111111111111101001 0XFFFFFFE9
155   7          111                  7         
156   28         11100                1C        
157   8          1000                 8         
158   -2         11111111111111111111111111111110 0XFFFFFFFE
159   37         100101               25        
160   42         101010               2A        
161   -17        11111111111111111111111111101111 0XFFFFFFEF
162   -6         11111111111111111111111111111010 0XFFFFFFFA
163   36         100100               24        
164   22         10110                16        
165   27         11011                1B        
166   31         11111                1F        
167   -47        11111111111111111111111111010001 0XFFFFFFD1
168   -43        11111111111111111111111111010101 0XFFFFFFD5
169   0          0                    0         
170   27         11011                1B        
171   30         11110                1E        
172   12         1100                 C         
